                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     78,                 1.5506,                0.66439,                 1.8023,                0.98055,                0.95994,                0.98874,                0.80482,                 1.4821,                0.60695,                 1.8111,              0.0004754,              0.0004754,              0.0004754
                     79,                 1.5349,                0.65084,                 1.7938,                0.97922,                0.95851,                0.99037,                0.80589,                 1.5079,                0.59917,                 1.8135,              0.0004556,              0.0004556,              0.0004556
                     80,                  1.571,                0.67504,                 1.8016,                0.98375,                0.95282,                0.98846,                0.80598,                 1.5127,                0.60371,                 1.8154,              0.0004358,              0.0004358,              0.0004358
                     81,                 1.5359,                 0.6486,                 1.7951,                0.97827,                 0.9663,                0.98966,                0.80716,                  1.494,                0.59192,                 1.8075,               0.000416,               0.000416,               0.000416
                     82,                 1.5384,                0.64601,                 1.7942,                0.97314,                 0.9671,                0.98993,                  0.803,                 1.5242,                0.60114,                 1.8129,              0.0003962,              0.0003962,              0.0003962
                     83,                 1.5283,                0.64427,                 1.7909,                0.96757,                0.96137,                0.98824,                0.80823,                 1.4879,                0.59976,                 1.8059,              0.0003764,              0.0003764,              0.0003764
                     84,                 1.5637,                0.66131,                 1.7999,                0.97961,                0.96224,                 0.9908,                0.80536,                 1.5031,                0.59309,                 1.8057,              0.0003566,              0.0003566,              0.0003566
                     85,                 1.4983,                0.63945,                 1.7877,                0.97787,                0.96423,                0.98967,                0.80711,                  1.501,                0.59292,                 1.8048,              0.0003368,              0.0003368,              0.0003368
                     86,                 1.5009,                0.62931,                 1.7839,                0.98673,                0.95742,                0.99014,                0.80704,                  1.506,                0.58818,                 1.8088,               0.000317,               0.000317,               0.000317
                     87,                 1.4909,                0.62801,                 1.7828,                0.98095,                0.95782,                0.98996,                0.81043,                 1.4826,                0.59545,                 1.8052,              0.0002972,              0.0002972,              0.0002972
                     88,                 1.4973,                0.64116,                 1.7872,                0.98204,                0.96137,                0.99164,                0.80642,                 1.4964,                0.58695,                 1.8176,              0.0002774,              0.0002774,              0.0002774
                     89,                 1.4806,                 0.6225,                 1.7785,                0.97337,                0.96423,                0.99151,                0.80239,                 1.5246,                0.59177,                  1.824,              0.0002576,              0.0002576,              0.0002576
                     90,                 1.4966,                0.61851,                 1.7795,                0.97354,                0.96996,                0.99027,                 0.8079,                 1.4874,                0.58708,                  1.809,              0.0002378,              0.0002378,              0.0002378
                     91,                 1.4115,                 0.5649,                 1.7564,                0.97485,                 0.9628,                0.98784,                0.80888,                 1.4949,                0.60465,                  1.815,               0.000218,               0.000218,               0.000218
                     92,                 1.3662,                0.53838,                 1.7531,                 0.9811,                0.96534,                0.99074,                0.80957,                 1.4895,                0.59401,                 1.8109,              0.0001982,              0.0001982,              0.0001982
                     93,                 1.3651,                0.55723,                 1.7534,                0.98157,                0.95994,                0.98943,                0.80811,                 1.5031,                0.59453,                 1.8167,              0.0001784,              0.0001784,              0.0001784
                     94,                  1.362,                0.53832,                 1.7567,                0.98232,                 0.9628,                 0.9905,                0.81062,                 1.5037,                0.59197,                 1.8119,              0.0001586,              0.0001586,              0.0001586
                     95,                 1.3504,                0.53453,                 1.7414,                0.98681,                0.96324,                0.99101,                0.81015,                 1.4904,                0.58497,                 1.8101,              0.0001388,              0.0001388,              0.0001388
                     96,                  1.336,                0.53185,                 1.7433,                0.97978,                0.97057,                0.99079,                0.81124,                 1.4864,                0.58403,                 1.8112,               0.000119,               0.000119,               0.000119
                     97,                 1.3236,                0.52417,                 1.7497,                0.98063,                 0.9628,                  0.991,                0.80918,                 1.5073,                0.58819,                 1.8162,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                 1.3354,                0.52777,                 1.7445,                0.98539,                0.96463,                0.99092,                0.81281,                 1.4849,                0.57798,                 1.8085,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                 1.3278,                0.53256,                 1.7477,                 0.9756,                 0.9723,                0.99129,                0.81062,                 1.4942,                0.57863,                 1.8133,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                 1.3178,                0.52752,                 1.7359,                0.98398,                0.96669,                0.99126,                 0.8121,                  1.492,                0.57747,                  1.812,               3.98e-05,               3.98e-05,               3.98e-05
